"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2018106163","2/13/2018","2/13/2018","2/14/2018","21531 E 46TH AVE                                  ","3214607.00","1709994.00","5","523","1208    ","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","","","",""
"201810675","1/4/2018","1/1/1900","1/5/2018","4902 E SMITH RD                                   ","3160325.00","1707718.00","2","221","2303    ","THEFT - SHOPLIFT","Larceny","INDUSTRY","","","",""
"2018107599","2/13/2018","2/14/2018","2/14/2018","3495 S KNOX CT                                    ","3131645.00","1663460.00","4","423","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2018113603","2/16/2018","1/1/1900","2/16/2018","105 E 7TH AVE                                     ","3144669.00","1690249.00","6","623","1313","ASSAULT - SIMPLE","Simple Assault","INDUSTRY","","","",""
"2018119243","2/19/2018","2/19/2018","2/19/2018","8151 E COLFAX AVE                                 ","3170674.00","1695109.00","2","223","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018120507","2/20/2018","2/20/2018","2/20/2018","1885 W DARTMOUTH AVE                              ","3138182.00","1666392.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018123617","2/20/2018","2/21/2018","2/21/2018","4430 N GARFIELD ST                                ","3156321.00","1708804.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018129740","2/23/2018","1/1/1900","2/23/2018","4012 W 38TH AVE                                   ","3129405.00","1705417.00","1","113","1316","THREATS TO INJURE","All Other Crimes","INDUSTRY","","","",""
"2018134462","2/26/2018","2/26/2018","2/26/2018","2420 S COLORADO BLVD                              ","3157568.00","1670426.00","3","314","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018134917","2/16/2018","1/1/1900","2/26/2018","4228 N YORK ST                                    ","3152105.00","1707908.00","2","212","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2018138546","2/27/2018","2/27/2018","2/27/2018","5141 N FRANKLIN ST                                ","3149177.00","1712959.00","1","112","1316","THREATS TO INJURE","All Other Crimes","INDUSTRY","","","",""
"2018142056","3/1/2018","3/1/2018","3/1/2018","3435 S YOSEMITE ST                                ","3173094.00","1663993.00","3","323","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018142181","3/1/2018","3/1/2018","3/1/2018","11122 E 47TH AVE                                  ","3180303.00","1710429.00","5","511","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018147913","3/3/2018","3/3/2018","3/3/2018","2383 S DOWNING ST                                 ","3148170.00","1670597.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018158641","3/7/2018","3/7/2018","3/8/2018","4414 N VINE ST                                    ","3151174.00","1708722.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018177432","3/14/2018","3/14/2018","3/16/2018","5077 N COLORADO BLVD                              ","3156774.00","1712483.00","2","212","2308    ","THEFT - FROM BLDG","Larceny","INDUSTRY","","","",""
"2018183371","3/18/2018","1/1/1900","3/18/2018","4690 N BRIGHTON BLVD                              ","3149975.00","1710084.00","2","212","1313","ASSAULT - SIMPLE","Simple Assault","INDUSTRY","","","",""
"2018183371","3/18/2018","1/1/1900","3/18/2018","4690 N BRIGHTON BLVD                              ","3149975.00","1710084.00","2","212","5312    ","DISTURBING THE PEACE","All Other Crimes","INDUSTRY","","","",""
"2018183371","3/18/2018","1/1/1900","3/18/2018","4690 N BRIGHTON BLVD                              ","3149975.00","1710084.00","2","212","1316","THREATS TO INJURE","All Other Crimes","INDUSTRY","","","",""
