année_-_mois,zone_de_culture_intérieure_indoor_growing_area_mètres_carrés,zone_de_transformation__mètres_carrés,superficie_totale_des_bâtiments__mètres_carrés,zone_de_culture_extérieure__hectares,estimation_de_l'emploi_basse,estimation_de_l'emploi_élevée
2018-10 ,452896,n/a / n/d,n/a / n/d,n/a / n/d,5206,6489
2018-11 ,474069,n/a / n/d,n/a / n/d,n/a / n/d,5749,6878
2018-12 ,569466,n/a / n/d,n/a / n/d,n/a / n/d,6582,7551
2019-01 ,610833,n/a / n/d,n/a / n/d,n/a / n/d,5134,7082
2019-02 ,609746,n/a / n/d,n/a / n/d,n/a / n/d,4960,6837
2019-03 ,699724,n/a / n/d,n/a / n/d,n/a / n/d,5647,8044
2019-04 ,819810,n/a / n/d,n/a / n/d,n/a / n/d,5914,8394
2019-05 ,1236653,n/a / n/d,n/a / n/d,n/a / n/d,7141,9797
2019-06 ,1537774,n/a / n/d,n/a / n/d,n/a / n/d,7363,9414
2019-07 ,1658136,n/a / n/d,n/a / n/d,n/a / n/d,7462,10311
2019-08 ,1799095,n/a / n/d,n/a / n/d,n/a / n/d,8369,11530
2019-09 ,1475888,n/a / n/d,n/a / n/d,n/a / n/d,8539,11421
2019-10 ,1366861,130269,2778948,232,11527,13951
2019-11 ,1521631,152134,2937222,232,12075,14292
2019-12 ,1587035,173758,3108675,232,13298,15034
2020-01 ,1832522,238600,3617722,248,10636,14886
2020-02 ,1883239,317329,3682333,315,10677,14723
2020-03 ,2016458,336456,4046415,336,11100,15158
2020-04 ,2114258,354889,4079062,364,12000,16165
2020-05 ,2217216,399778,4224727,401,12141,15831
2020-06 ,1965437,337202,3695847,510,12209,15945
2020-07 ,1985302,347157,3729188,531,12797,16345
2020-08 ,2004180,360534,3812595,544,13291,17108
2020-09 ,1998001,362167,3887057,586,14070,17878
2020-10 ,2040093,284073,3987142,576,14565,18114
2020-11 ,2088323,279664,4051573,619,14745,18288
2020-12 ,1741527,287546,3752373,628,14251,17275
2021-01 ,1788608,339896,4163503,629,13166,16718
2021-02 ,1833431,354548,4380482,642,13984,17982
2021-03 ,1822985,351575,4354409,587,14181,18364
2021-04 ,1862776,524161,4402778,641,15078,18923
2021-05 ,1874329,526726,4429847,688,15274,19033
2021-06 ,1738161,393852,4077483,701,15415,19446
2021-07 ,1740784,395644,4106754,704,15674,19991
2021-08 ,1751624,400848,4768220,705,15769,19825
2021-09 ,1755958,400036,4066857,710,15849,19956
2021-10 ,1759426,408494,4759637,710,16214,20190
2021-11 ,1757669,414912,4776534,711,16365,20619
2021-12 ,1756642,418081,4128904,713,16322,20500
2022-01 ,1674950,422316,4887406,685,15904,20106
2022-02 ,1677723,424319,4886097,685,15990,20238
2022-03 ,1673356,422946,4883746,692,16099,20334
